# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MGG_00039	gene-MGG_00039	XM_003719059.1	protein_coding	0	0	0	97	0	0	0	0	0	0	0	6	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	55
MGG_00040	gene-MGG_00040	XM_003719057.1	protein_coding	0	0	0	96	0	0	0	0	0	0	0	49	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	7
MGG_00041	gene-MGG_00041	XM_003719056.1	protein_coding	0	0	0	82	0	0	0	0	0	0	0	75	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3
MGG_00042	gene-MGG_00042	XM_003719053.1	protein_coding	0	0	0	331	0	0	0	0	0	0	0	198	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	108
MGG_00043	gene-MGG_00043	XM_003719052.1	protein_coding	0	0	0	344	0	0	0	0	0	0	0	239	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	91
MGG_00045	gene-MGG_00045	XM_003719051.1	protein_coding	0	0	0	132	0	0	0	0	0	0	0	94	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	13
MGG_00046	gene-MGG_00046	XM_003719050.1	protein_coding	0	0	0	129	0	0	0	0	0	0	0	107	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	17
MGG_00047	gene-MGG_00047	XM_003719049.1	protein_coding	0	0	0	66	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
MGG_00048	gene-MGG_00048	XM_003719047.1	protein_coding	0	0	0	132	0	0	0	0	0	0	0	72	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	52
MGG_00049	gene-MGG_00049	XM_003719046.1	protein_coding	0	0	0	124	0	0	0	0	0	0	0	57	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	54
MGG_00050	gene-MGG_00050	XM_003719045.1	protein_coding	0	0	0	138	0	0	0	0	0	0	0	34	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	62
MGG_00052	gene-MGG_00052	XM_003719043.1	protein_coding	0	0	0	78	0	0	0	0	0	0	0	72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
MGG_00053	gene-MGG_00053	XM_003719042.1	protein_coding	0	0	0	68	0	0	0	0	0	0	0	65	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
MGG_00054	gene-MGG_00054	XM_003719041.1	protein_coding	0	0	0	15	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MGG_00056	gene-MGG_00056	XM_003719038.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MGG_00057	gene-MGG_00057	XM_003719037.1	protein_coding	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
MGG_00058	gene-MGG_00058	XM_003719036.1	protein_coding	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7
MGG_00059	gene-MGG_00059	XM_003719035.1	protein_coding	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MGG_00061	gene-MGG_00061	XM_003719032.1	protein_coding	0	0	0	47	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	29
MGG_00062	gene-MGG_00062	XM_003719031.1	protein_coding	0	0	0	51	0	0	0	0	0	0	0	36	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	4
MGG_00063	gene-MGG_00063	XM_003719030.1	protein_coding	0	0	0	38	0	0	0	0	0	0	0	32	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
MGG_00065	gene-MGG_00065	XM_003719029.1	protein_coding	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MGG_00066	gene-MGG_00066	XM_003719028.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
MGG_00067	gene-MGG_00067	XM_003719027.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MGG_00068	gene-MGG_00068	XM_003719026.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8
MGG_00070	gene-MGG_00070	XM_003719024.1	protein_coding	0	0	0	52	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	42
MGG_00071	gene-MGG_00071	XM_003719023.1	protein_coding	0	0	0	57	0	0	0	0	0	0	0	14	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	24
MGG_00072	gene-MGG_00072	XM_003719021.1	protein_coding	0	0	0	110	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	96
MGG_00073	gene-MGG_00073	XM_003719019.1	protein_coding	0	0	0	159	0	0	0	0	0	0	0	75	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	60
MGG_00074	gene-MGG_00074	XM_003719018.1	protein_coding	0	0	0	168	0	0	0	0	0	0	0	79	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	83
MGG_00075	gene-MGG_00075	XM_003719017.1	protein_coding	0	0	0	130	0	0	0	0	0	0	0	56	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	53
MGG_00076	gene-MGG_00076	XM_003719016.1	protein_coding	0	0	0	144	0	0	0	0	0	0	0	80	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	39
MGG_00077	gene-MGG_00077	XM_003719015.1	protein_coding	0	0	0	145	0	0	0	0	0	0	0	42	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	87
MGG_00078	gene-MGG_00078	XM_003719014.1	protein_coding	0	0	0	190	0	0	0	0	0	0	0	60	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	110
MGG_00079	gene-MGG_00079	XM_003719012.1	protein_coding	0	0	0	223	0	0	0	0	0	0	0	87	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	96
MGG_00079	gene-MGG_00079	XM_003719013.1	protein_coding	0	0	0	220	0	0	0	0	0	0	0	86	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	107
MGG_00080	gene-MGG_00080	XM_003719011.1	protein_coding	0	0	0	208	0	0	0	0	0	0	0	107	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	88
MGG_00081	gene-MGG_00081	XM_003719009.1	protein_coding	0	0	0	169	0	0	0	0	0	0	0	89	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	72
MGG_00082	gene-MGG_00082	XM_003719008.1	protein_coding	0	0	0	179	0	0	0	0	0	0	0	61	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	77
MGG_00083	gene-MGG_00083	XM_003719007.1	protein_coding	0	0	0	154	0	0	0	0	0	0	0	74	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	69
MGG_00084	gene-MGG_00084	XM_003719006.1	protein_coding	0	0	0	167	0	0	0	0	0	0	0	80	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	77
MGG_00085	gene-MGG_00085	XM_003719005.1	protein_coding	0	0	0	192	0	0	0	0	0	0	0	82	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	79
MGG_00086	gene-MGG_00086	XM_003719004.1	protein_coding	0	0	0	185	0	0	0	0	0	0	0	74	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	88
MGG_00087	gene-MGG_00087	XM_003719000.1	protein_coding	0	0	0	198	0	0	0	0	0	0	0	91	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	88
MGG_00088	gene-MGG_00088	XM_003718999.1	protein_coding	0	0	0	181	0	0	0	0	0	0	0	117	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	59
MGG_00095	gene-MGG_00095	XM_003718997.1	protein_coding	0	0	0	168	0	0	0	0	0	0	0	59	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	37
MGG_00096	gene-MGG_00096	XM_003718996.1	protein_coding	0	0	0	134	0	0	0	0	0	0	0	74	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	38
MGG_00097	gene-MGG_00097	XM_003718995.1	protein_coding	0	0	0	160	0	0	0	0	0	0	0	96	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	53
MGG_00099	gene-MGG_00099	XM_003718993.1	protein_coding	0	0	0	125	0	0	0	0	0	0	0	40	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	66
MGG_00100	gene-MGG_00100	XM_003718992.1	protein_coding	0	0	0	128	0	0	0	0	0	0	0	41	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	70
MGG_00101	gene-MGG_00101	XM_003718990.1	protein_coding	0	0	0	138	0	0	0	0	0	0	0	56	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	55
MGG_00102	gene-MGG_00102	XM_003718989.1	protein_coding	0	0	0	135	0	0	0	0	0	0	0	70	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	36
MGG_00103	gene-MGG_00103	XM_003718988.1	protein_coding	0	0	0	119	0	0	0	0	0	0	0	72	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	32
MGG_00104	gene-MGG_00104	XM_003718987.1	protein_coding	0	0	0	98	0	0	0	0	0	0	0	59	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	29
MGG_00105	gene-MGG_00105	XM_003718986.1	protein_coding	0	0	0	125	0	0	0	0	0	0	0	53	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	31
MGG_00106	gene-MGG_00106	XM_003718985.1	protein_coding	0	0	0	93	0	0	0	0	0	0	0	30	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	48
MGG_00109	gene-MGG_00109	XM_003718981.1	protein_coding	0	0	0	105	0	0	0	0	0	0	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	85
MGG_00110	gene-MGG_00110	XM_003718980.1	protein_coding	0	0	0	143	0	0	0	0	0	0	0	50	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	78
MGG_00111	gene-MGG_00111	XM_003718979.1	protein_coding	0	0	0	217	0	0	0	0	0	0	0	86	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	71
MGG_00112	gene-MGG_00112	XM_003718977.1	protein_coding	0	0	0	120	0	0	0	0	0	0	0	62	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	37
MGG_00116	gene-MGG_00116	XM_003718973.1	protein_coding	0	0	0	81	0	0	0	0	0	0	0	27	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	43
MGG_00117	gene-MGG_00117	XM_003718972.1	protein_coding	0	0	0	80	0	0	0	0	0	0	0	40	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	27
MGG_00118	gene-MGG_00118	XM_003718971.1	protein_coding	0	0	0	75	0	0	0	0	0	0	0	40	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	10
MGG_00119	gene-MGG_00119	XM_003718969.1	protein_coding	0	0	0	120	0	0	0	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	103
MGG_00120	gene-MGG_00120	XM_003718967.1	protein_coding	0	0	0	150	0	0	0	0	0	0	0	91	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	50
MGG_00123	gene-MGG_00123	XM_003718965.1	protein_coding	0	0	0	110	0	0	0	0	0	0	0	48	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	30
MGG_00124	gene-MGG_00124	XM_003718964.1	protein_coding	0	0	0	98	0	0	0	0	0	0	0	38	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	33
MGG_00125	gene-MGG_00125	XM_003718963.1	protein_coding	0	0	0	87	0	0	0	0	0	0	0	30	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	47
MGG_00126	gene-MGG_00126	XM_003718962.1	protein_coding	0	0	0	108	0	0	0	0	0	0	0	24	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	42
MGG_00127	gene-MGG_00127	XM_003718961.1	protein_coding	0	0	0	127	0	0	0	0	0	0	0	51	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	50
MGG_00128	gene-MGG_00128	XM_003718960.1	protein_coding	0	0	0	136	0	0	0	0	0	0	0	57	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	57
MGG_00129	gene-MGG_00129	XM_003718959.1	protein_coding	0	0	0	120	0	0	0	0	0	0	0	46	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	50
MGG_00130	gene-MGG_00130	XM_003718958.1	protein_coding	0	0	0	116	0	0	0	0	0	0	0	50	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	48
MGG_00133	gene-MGG_00133	XM_003718952.1	protein_coding	0	0	0	132	0	0	0	0	0	0	0	88	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	29
MGG_00134	gene-MGG_00134	XM_003718951.1	protein_coding	0	0	0	111	0	0	0	0	0	0	0	53	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	46
MGG_00135	gene-MGG_00135	XM_003718948.1	protein_coding	0	0	0	71	0	0	0	0	0	0	0	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10
MGG_00136	gene-MGG_00136	XM_003718947.1	protein_coding	0	0	0	55	0	0	0	0	0	0	0	36	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	12
MGG_00137	gene-MGG_00137	XM_003718946.1	protein_coding	0	0	0	34	0	0	0	0	0	0	0	15	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	11
MGG_00138	gene-MGG_00138	XM_003718945.1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5
MGG_00139	gene-MGG_00139	XM_003718944.1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7
MGG_00140	gene-MGG_00140	XM_003718943.1	protein_coding	0	0	0	18	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9
MGG_00141	gene-MGG_00141	XM_003718942.1	protein_coding	0	0	0	39	0	0	0	0	0	0	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	21
MGG_00142	gene-MGG_00142	XM_003718940.1	protein_coding	0	0	0	63	0	0	0	0	0	0	0	25	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	27
MGG_00143	gene-MGG_00143	XM_003718938.1	protein_coding	0	0	0	68	0	0	0	0	0	0	0	30	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	19
MGG_00144	gene-MGG_00144	XM_003718937.1	protein_coding	0	0	0	67	0	0	0	0	0	0	0	35	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	29
MGG_00145	gene-MGG_00145	XM_003718936.1	protein_coding	0	0	0	79	0	0	0	0	0	0	0	34	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	31
MGG_00146	gene-MGG_00146	XM_003718935.1	protein_coding	0	0	0	68	0	0	0	0	0	0	0	27	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	36
MGG_00148	gene-MGG_00148	XM_003718932.1	protein_coding	0	0	0	56	0	0	0	0	0	0	0	33	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	12
MGG_00149	gene-MGG_00149	XM_003718931.1	protein_coding	0	0	0	65	0	0	0	0	0	0	0	37	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	21
MGG_00150	gene-MGG_00150	XM_003718929.1	protein_coding	0	0	0	35	0	0	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13
MGG_00151	gene-MGG_00151	XM_003718928.1	protein_coding	0	0	0	44	0	0	0	0	0	0	0	17	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	14
MGG_00152	gene-MGG_00152	XM_003718927.1	protein_coding	0	0	0	50	0	0	0	0	0	0	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	26
MGG_00153	gene-MGG_00153	XM_003718926.1	protein_coding	0	0	0	50	0	0	0	0	0	0	0	14	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	29
MGG_00154	gene-MGG_00154	XM_003718925.1	protein_coding	0	0	0	56	0	0	0	0	0	0	0	16	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	34
MGG_00155	gene-MGG_00155	XM_003718924.1	protein_coding	0	0	0	86	0	0	0	0	0	0	0	21	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	44
MGG_00156	gene-MGG_00156	XM_003718923.1	protein_coding	0	0	0	96	0	0	0	0	0	0	0	42	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	49
MGG_00157	gene-MGG_00157	XM_003718922.1	protein_coding	0	0	0	146	0	0	0	0	0	0	0	36	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	88
MGG_00158	gene-MGG_00158	XM_003718921.1	protein_coding	0	0	0	148	0	0	0	0	0	0	0	41	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	87
MGG_00160	gene-MGG_00160	XM_003718919.1	protein_coding	0	0	0	178	0	0	0	0	0	0	0	81	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	49
MGG_00161	gene-MGG_00161	XM_003718918.1	protein_coding	0	0	0	156	0	0	0	0	0	0	0	76	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	52
MGG_00162	gene-MGG_00162	XM_003718917.1	protein_coding	0	0	0	139	0	0	0	0	0	0	0	69	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	59
MGG_00163	gene-MGG_00163	XM_003718916.1	protein_coding	0	0	0	123	0	0	0	0	0	0	0	50	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	56
MGG_00164	gene-MGG_00164	XM_003718915.1	protein_coding	0	0	0	150	0	0	0	0	0	0	0	52	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	58
MGG_00166	gene-MGG_00166	XM_003718911.1	protein_coding	0	0	0	100	0	0	0	0	0	0	0	53	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	42
MGG_00167	gene-MGG_00167	XM_003718910.1	protein_coding	0	0	0	105	0	0	0	0	0	0	0	43	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	44
MGG_00168	gene-MGG_00168	XM_003718909.1	protein_coding	0	0	0	111	0	0	0	0	0	0	0	49	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	38
MGG_00169	gene-MGG_00169	XM_003718908.1	protein_coding	0	0	0	109	0	0	0	0	0	0	0	49	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	47
MGG_00170	gene-MGG_00170	XM_003718907.1	protein_coding	0	0	0	95	0	0	0	0	0	0	0	43	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	37
MGG_00171	gene-MGG_00171	XM_003718906.1	protein_coding	0	0	0	88	0	0	0	0	0	0	0	52	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	17
MGG_00172	gene-MGG_00172	XM_003718905.1	protein_coding	0	0	0	76	0	0	0	0	0	0	0	45	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	23
MGG_00174	gene-MGG_00174	XM_003718904.1	protein_coding	0	0	0	70	0	0	0	0	0	0	0	24	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	23
MGG_00175	gene-MGG_00175	XM_003718903.1	protein_coding	0	0	0	84	0	0	0	0	0	0	0	23	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	51
MGG_00176	gene-MGG_00176	XM_003718897.1	protein_coding	0	0	0	53	0	0	0	0	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	35
MGG_00177	gene-MGG_00177	XM_003718896.1	protein_coding	0	0	0	60	0	0	0	0	0	0	0	26	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	25
MGG_00178	gene-MGG_00178	XM_003718895.1	protein_coding	0	0	0	60	0	0	0	0	0	0	0	32	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	26
MGG_00179	gene-MGG_00179	XM_003718894.1	protein_coding	0	0	0	71	0	0	0	0	0	0	0	22	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	32
MGG_00180	gene-MGG_00180	XM_003718893.1	protein_coding	0	0	0	51	0	0	0	0	0	0	0	19	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	25
MGG_00181	gene-MGG_00181	XM_003718891.1	protein_coding	0	0	0	46	0	0	0	0	0	0	0	25	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	7
MGG_00183	gene-MGG_00183	XM_003718889.1	protein_coding	0	0	0	71	0	0	0	0	0	0	0	16	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	35
MGG_00184	gene-MGG_00184	XM_003718888.1	protein_coding	0	0	0	74	0	0	0	0	0	0	0	33	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	26
MGG_00187	gene-MGG_00187	XM_003718885.1	protein_coding	0	0	0	123	0	0	0	0	0	0	0	85	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	28
MGG_00190	gene-MGG_00190	XM_003718881.1	protein_coding	0	0	0	122	0	0	0	0	0	0	0	46	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	65
MGG_00193	gene-MGG_00193	XM_003718876.1	protein_coding	0	0	0	122	0	0	0	0	0	0	0	38	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	56
MGG_00194	gene-MGG_00194	XM_003718875.1	protein_coding	0	0	0	138	0	0	0	0	0	0	0	52	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	67
MGG_00195	gene-MGG_00195	XM_003718874.1	protein_coding	0	0	0	205	0	0	0	0	0	0	0	52	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	99
MGG_00198	gene-MGG_00198	XM_003718871.1	protein_coding	0	0	0	202	0	0	0	0	0	0	0	99	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	82
MGG_00199	gene-MGG_00199	XM_003718868.1	protein_coding	0	0	0	95	0	0	0	0	0	0	0	42	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	25
MGG_00201	gene-MGG_00201	XM_003718866.1	protein_coding	0	0	0	160	0	0	0	0	0	0	0	44	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	71
MGG_00202	gene-MGG_00202	XM_003718865.1	protein_coding	0	0	0	171	0	0	0	0	0	0	0	71	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	76
MGG_00203	gene-MGG_00203	XM_003718863.1	protein_coding	0	0	0	234	0	0	0	0	0	0	0	69	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	95
